                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2268,                 4.0352,                 4.1963,                0.00079,                0.16471,                0.00128,                0.00023,                 4.7771,                 4.4927,                 4.0233,                 0.0775,                 0.0025,                 0.0025
                      1,                 3.9691,                 3.8386,                 4.0703,                0.00081,                0.16807,                 0.0015,                 0.0003,                 4.5931,                 4.3334,                 3.8912,               0.053956,              0.0049557,              0.0049557
                      2,                 3.6534,                 3.5654,                 3.9237,                0.00096,                    0.2,                0.00158,                0.00028,                 4.5119,                 4.1748,                 3.8354,               0.030264,              0.0072644,              0.0072644
                      3,                 3.2894,                 3.1871,                 3.6554,                0.20559,                0.03193,                0.02814,                0.00417,                 4.2094,                 3.8642,                 3.6035,              0.0091514,              0.0091514,              0.0091514
                      4,                 3.0737,                 3.0174,                 3.3701,                0.11152,                0.20168,                0.08051,                0.01976,                   2.83,                  3.653,                 2.8523,              0.0091514,              0.0091514,              0.0091514
                      5,                 2.9781,                 2.8495,                 3.2994,                0.05181,                0.53445,                0.05077,                0.01266,                 2.8178,                 49.188,                 3.9131,              0.0088686,              0.0088686,              0.0088686
                      6,                 2.8554,                 2.7459,                 3.1386,                0.04395,                0.66723,                0.07722,                0.02079,                 2.6892,                 65.018,                 3.3631,              0.0085857,              0.0085857,              0.0085857
                      7,                 2.7645,                 2.6446,                 3.0919,                0.08436,                0.34454,                0.05596,                0.01625,                 2.6408,                 4.3367,                 2.8757,              0.0083029,              0.0083029,              0.0083029
                      8,                 2.7223,                 2.4795,                 3.0219,                0.10488,                0.46723,                0.08265,                0.02324,                 2.5124,                 6.6376,                 2.4642,                0.00802,                0.00802,                0.00802
                      9,                 2.6381,                 2.3945,                 2.9078,                0.18171,                 0.3916,                 0.1583,                0.04064,                 2.4433,                 5.1558,                 2.9311,              0.0077371,              0.0077371,              0.0077371
                     10,                 2.5579,                 2.3367,                 2.8397,                0.22577,                0.43866,                0.20966,                0.04548,                 2.7766,                 13.149,                 3.6049,              0.0074543,              0.0074543,              0.0074543
                     11,                 2.4713,                 2.2094,                 2.7592,                0.30374,                0.52496,                0.28848,                0.09228,                 2.3011,                 2.6384,                 2.2542,              0.0071714,              0.0071714,              0.0071714
                     12,                 2.3771,                 2.1061,                 2.6832,                 0.4255,                 0.3916,                 0.3586,                0.11562,                 2.2295,                 2.2112,                 2.2294,              0.0068886,              0.0068886,              0.0068886
                     13,                 2.3055,                  2.058,                 2.6015,                0.39914,                0.52941,                0.39806,                0.13924,                  2.123,                 2.4737,                  2.238,              0.0066057,              0.0066057,              0.0066057
                     14,                  2.243,                 1.9868,                  2.578,                0.51481,                0.60631,                0.50144,                0.18143,                  2.146,                  1.879,                 2.1907,              0.0063229,              0.0063229,              0.0063229
                     15,                 2.1842,                 1.9305,                 2.5329,                0.53534,                0.68739,                0.54674,                 0.1957,                 2.1461,                 2.2423,                 2.0474,                0.00604,                0.00604,                0.00604
                     16,                 2.1305,                 1.8429,                 2.4364,                0.38546,                0.47899,                0.35771,                0.14685,                 2.0547,                 2.0103,                 2.1246,              0.0057571,              0.0057571,              0.0057571
                     17,                 2.0482,                   1.83,                  2.364,                0.48875,                0.61176,                0.53344,                0.24146,                 1.9375,                 1.8959,                 1.9863,              0.0054743,              0.0054743,              0.0054743
                     18,                 2.0061,                 1.7921,                 2.3727,                0.48855,                0.58824,                0.48443,                0.19323,                 2.0151,                 1.9451,                  2.047,              0.0051914,              0.0051914,              0.0051914
                     19,                 1.9506,                 1.7214,                 2.2932,                0.49188,                0.54454,                0.45019,                0.18393,                 2.0657,                 2.0042,                 2.0628,              0.0049086,              0.0049086,              0.0049086
